大白菜,0.50,0.55,0.60,/黄心,斤,2021-03-08
娃娃菜,0.70,0.80,0.90,大\小,斤,2021-03-08
芹菜,0.80,0.90,1.00,鲁,斤,2021-03-08
菠菜,0.60,0.80,1.00,鲁\冀,斤,2021-03-08
番茄,0.80,1.00,1.20,川鲁蒙,斤,2021-03-08
番茄（精品）,1.30,1.65,2.00,普通,斤,2021-03-08
黄瓜,1.20,1.60,2.00,蒙辽袋\鲁,斤,2021-03-08
黄瓜(鲜干花),2.50,2.90,3.30,冀,斤,2021-03-08
小黄瓜,4.50,5.75,7.00,旱\荷兰,斤,2021-03-08
茄子,1.20,1.70,2.20,鲁\新,斤,2021-03-08
架豆,2.80,4.40,6.00,\冀,斤,2021-03-08
尖椒,1.50,1.95,2.40,冀晋/鲁新,斤,2021-03-08
柿子椒,1.20,1.60,2.00,\鲁新,斤,2021-03-08
土豆,0.70,0.95,1.20,\冀,斤,2021-03-08
新土豆,0.80,1.00,1.20,陕冀云新,斤,2021-03-08
黄葱头,0.90,1.00,1.10,\蒙甘,斤,2021-03-08
红葱头,1.00,1.20,1.40,普通,斤,2021-03-08
葱,4.50,5.00,5.50,冀/苏鲁,斤,2021-03-08
吊冬瓜,2.20,2.40,2.60,桂,斤,2021-03-08
地冬瓜,1.40,1.60,1.80,苏、新,斤,2021-03-08
